Raiders of the Lost Ark (1981),E.T. the Extra-Terrestrial (1982),Return of the Jedi (1983),Back to the Future (1985),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Raiders of the Lost Ark (1981),Return of the Jedi (1983),Princess Bride, The (1987),Back to the Future (1985),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Toy Story (1995),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Toy Story (1995),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Back to the Future (1985);Star Wars (1977);1.000
Toy Story (1995),Return of the Jedi (1983),Empire Strikes Back, The (1980),Indiana Jones and the Last Crusade (1989);Star Wars (1977);1.000
Raiders of the Lost Ark (1981),Return of the Jedi (1983),Empire Strikes Back, The (1980),Godfather, The (1972);Star Wars (1977);1.000
Return of the Jedi (1983),Princess Bride, The (1987),Back to the Future (1985),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Raiders of the Lost Ark (1981),Alien (1979),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Raiders of the Lost Ark (1981),Return of the Jedi (1983),Princess Bride, The (1987),Empire Strikes Back, The (1980);Star Wars (1977);1.000
E.T. the Extra-Terrestrial (1982),Return of the Jedi (1983),Empire Strikes Back, The (1980),Indiana Jones and the Last Crusade (1989);Star Wars (1977);1.000
Toy Story (1995),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Indiana Jones and the Last Crusade (1989);Star Wars (1977);1.000
Raiders of the Lost Ark (1981),E.T. the Extra-Terrestrial (1982),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
When Harry Met Sally... (1989),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Raiders of the Lost Ark (1981),Alien (1979),Return of the Jedi (1983),Aliens (1986);Star Wars (1977);1.000
E.T. the Extra-Terrestrial (1982),Return of the Jedi (1983),Back to the Future (1985),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Toy Story (1995),Return of the Jedi (1983),Back to the Future (1985),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Return of the Jedi (1983),Empire Strikes Back, The (1980),Groundhog Day (1993);Star Wars (1977);1.000
Toy Story (1995),Return of the Jedi (1983),Princess Bride, The (1987);Star Wars (1977);1.000
E.T. the Extra-Terrestrial (1982),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Alien (1979),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Forrest Gump (1994),Princess Bride, The (1987),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Return of the Jedi (1983),Apollo 13 (1995),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Return of the Jedi (1983),Empire Strikes Back, The (1980),Godfather, The (1972);Star Wars (1977);1.000
Toy Story (1995),Forrest Gump (1994),Return of the Jedi (1983);Star Wars (1977);1.000
When Harry Met Sally... (1989),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Alien (1979),Return of the Jedi (1983),Aliens (1986);Star Wars (1977);1.000
Speed (1994),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Toy Story (1995),Return of the Jedi (1983),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Return of the Jedi (1983),Dead Poets Society (1989),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Empire Strikes Back, The (1980),Hunt for Red October, The (1990);Star Wars (1977);1.000
