Back to the Future (1985),Silence of the Lambs, The (1991),Alien (1979),Return of the Jedi (1983),Aliens (1986),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Return of the Jedi (1983),Jurassic Park (1993),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Star Wars (1977),Independence Day (ID4) (1996),Monty Python and the Holy Grail (1974),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Return of the Jedi (1983);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Pulp Fiction (1994),Return of the Jedi (1983),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Return of the Jedi (1983),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980),Fugitive, The (1993);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Return of the Jedi (1983),Forrest Gump (1994),Raiders of the Lost Ark (1981),Princess Bride, The (1987),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Indiana Jones and the Last Crusade (1989),Alien (1979),Return of the Jedi (1983),Aliens (1986),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980),Terminator 2: Judgment Day (1991);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Toy Story (1995),Return of the Jedi (1983),Monty Python and the Holy Grail (1974),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Terminator, The (1984),Return of the Jedi (1983),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Silence of the Lambs, The (1991),Return of the Jedi (1983),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Terminator, The (1984),Alien (1979),Return of the Jedi (1983),Aliens (1986),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Indiana Jones and the Last Crusade (1989),Terminator, The (1984),Alien (1979),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980),Terminator 2: Judgment Day (1991);Star Wars (1977);1.000
Indiana Jones and the Last Crusade (1989),Alien (1979),Silence of the Lambs, The (1991),Return of the Jedi (1983),Aliens (1986),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Independence Day (ID4) (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Princess Bride, The (1987),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Indiana Jones and the Last Crusade (1989),Star Wars (1977),Silence of the Lambs, The (1991),Return of the Jedi (1983),Monty Python and the Holy Grail (1974),Empire Strikes Back, The (1980),Fugitive, The (1993);Raiders of the Lost Ark (1981);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Return of the Jedi (1983),Monty Python and the Holy Grail (1974),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Star Wars (1977),Monty Python and the Holy Grail (1974),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Return of the Jedi (1983);1.000
Back to the Future (1985),Silence of the Lambs, The (1991),Return of the Jedi (1983),Forrest Gump (1994),E.T. the Extra-Terrestrial (1982),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
Alien (1979),Terminator, The (1984),Silence of the Lambs, The (1991),Return of the Jedi (1983),Aliens (1986),Raiders of the Lost Ark (1981),Empire Strikes Back, The (1980);Star Wars (1977);1.000
